GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-client 4.9.2,org.apache.rocketmq.client.common,ThreadLocalIndex,0,58,0,2,0,11,0,4,0,3
rocketmq-client 4.9.2,org.apache.rocketmq.client.common,ClientErrorCode,3,0,0,0,1,0,1,0,1,0
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,PullMessageService,37,114,3,5,10,32,4,9,2,7
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl,216,181,27,9,63,41,20,10,4,7
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,ProcessQueue,314,568,30,32,74,141,32,32,11,22
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.new ThreadFactory() {...},0,12,0,0,0,2,0,2,0,2
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.new Runnable() {...},7,11,0,0,2,4,0,2,0,2
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.MessageQueueListenerImpl,0,39,1,2,0,10,1,3,0,2
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,AssignedMessageQueue,85,265,25,23,26,68,21,21,1,17
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.SubscriptionType,0,34,0,0,0,2,0,1,0,1
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,RebalanceLitePullImpl,68,151,8,14,26,42,9,12,1,8
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,PullRequest,85,63,22,0,23,18,13,12,2,12
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,RebalanceImpl,605,465,65,41,138,118,47,31,7,17
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},10,0,0,0,3,0,2,0,2,0
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultMQPullConsumerImpl,972,521,80,32,210,129,100,23,42,23
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.ConsumeRequest,0,24,0,0,0,8,0,4,0,4
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.PullTaskImpl,138,385,11,38,16,69,12,19,1,5
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,AssignedMessageQueue.MessageQueueState,11,55,0,0,5,21,3,10,3,10
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService,317,274,32,13,75,59,28,12,7,9
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.1.new Runnable() {...},57,0,0,0,10,0,2,0,2,0
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,RebalancePullImpl,44,18,2,0,16,5,8,2,7,2
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},38,0,2,0,6,0,3,0,2,0
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},10,12,0,0,2,1,1,1,1,1
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,RebalanceService,0,53,0,2,0,13,0,5,0,4
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl.new Runnable() {...},25,0,0,0,4,0,2,0,2,0
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.new PullCallback() {...},78,163,11,7,16,27,11,2,1,2
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,PullAPIWrapper,228,248,34,18,48,69,28,12,6,8
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService,336,335,46,20,80,89,42,16,10,11
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService.ConsumeRequest,56,245,8,22,11,55,8,12,0,5
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl,444,1479,87,126,107,359,80,99,10,61
rocketmq-client 4.9.2,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl,1288,1160,117,94,250,269,129,53,35,39
