2021-10-31 15:22:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 1000 TPS: 20.00 AVGPT: 1.00
2021-10-31 15:22:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 1000 TPS: 20.00 AVGPT: 0.00
2021-10-31 15:22:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 191890 TPS: 3838.18 AVGPT: 191.89
2021-10-31 15:23:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 191890 TPS: 4795.45 AVGPT: 5996.56
2021-10-31 15:23:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 1 TPS: 0.02 AVGPT: 0.13
2021-10-31 15:23:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 2 TPS: 0.05 AVGPT: 0.25
2021-10-31 15:23:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:23:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:23:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:23:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:23:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 1000 TPS: 24.99 AVGPT: 0.00
2021-10-31 15:23:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:23:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 1000 TPS: 24.99 AVGPT: 31.25
2021-10-31 15:24:00 INFO - [GROUP_GET_SIZE] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [GROUP_GET_LATENCY] [0@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [GROUP_GET_LATENCY] [1@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [GROUP_GET_LATENCY] [2@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [GROUP_GET_LATENCY] [3@TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [BROKER_GET_NUMS] [DefaultCluster] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:24:00 INFO - [GROUP_GET_NUMS] [TopicTest@please_rename_unique_group_name_4] Stats In One Minute, SUM: 0 TPS: 0.00 AVGPT: 0.00
2021-10-31 15:26:00 INFO - [TOPIC_PUT_NUMS] [TopicTest] Stats In One Minute, SUM: 1000 TPS: 20.00 AVGPT: 1.00
2021-10-31 15:26:00 INFO - [BROKER_PUT_NUMS] [DefaultCluster] Stats In One Minute, SUM: 1000 TPS: 20.00 AVGPT: 0.00
2021-10-31 15:26:00 INFO - [TOPIC_PUT_SIZE] [TopicTest] Stats In One Minute, SUM: 191890 TPS: 3838.57 AVGPT: 191.89
