GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.common,Pair,8,15,0,0,4,6,2,3,2,3
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.common,RemotingUtil.new ChannelFutureListener() {...},0,15,0,0,0,4,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.common,TlsMode,2,71,1,3,1,11,1,5,0,4
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.common,RemotingUtil,300,41,40,4,89,12,33,3,11,3
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.common,ServiceThread,15,95,2,2,6,24,4,5,2,5
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.common,RemotingHelper,217,67,40,6,65,17,26,4,3,4
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.common,SemaphoreReleaseOnlyOnce,3,25,2,2,1,8,3,2,1,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.exception,RemotingSendRequestException,5,14,0,0,2,2,1,1,1,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.exception,RemotingCommandException,10,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.exception,RemotingTooMuchRequestException,4,0,0,0,2,0,1,0,1,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.exception,RemotingException,4,5,0,0,2,2,1,1,1,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.exception,RemotingConnectException,19,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.exception,RemotingTimeoutException,28,0,0,0,6,0,3,0,3,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient,493,588,85,51,122,146,64,26,7,15
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.NettyConnectManageHandler,101,89,12,6,18,23,10,5,1,5
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.1.new RemotingResponseCallback() {...},15,41,1,3,4,9,1,3,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new Runnable() {...},43,55,3,1,11,10,2,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyLogger,4,21,1,1,2,7,2,2,1,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new Runnable() {...},0,21,0,0,0,6,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyDecoder,4,61,1,3,1,16,1,4,0,3
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new ChannelFutureListener() {...},0,58,0,2,0,10,0,3,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.NettyConnectManageHandler,63,90,8,4,11,28,6,7,0,7
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new ChannelFutureListener() {...},12,23,1,1,3,4,1,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer,123,291,19,13,29,73,24,10,9,9
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyServerConfig,51,66,0,0,24,22,13,11,13,11
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,FileRegionEncoder,0,29,0,2,0,9,0,3,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract,372,411,34,27,84,105,28,20,4,13
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyEvent,43,0,0,0,9,0,5,0,5,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyLogger.NettyBridgeLogger,441,58,61,1,119,18,66,9,35,9
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,TlsHelper,30,348,15,33,14,80,17,15,2,6
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyEncoder,27,21,3,1,6,8,2,3,0,3
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.HandshakeHandler,22,85,3,6,9,21,3,4,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,TlsHelper.new TlsHelper.DecryptionStrategy() {...},0,8,0,0,0,2,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ChannelInitializer() {...},3,85,1,3,1,10,1,3,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,TlsSystemConfig,3,66,0,0,1,15,1,1,1,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new TimerTask() {...},10,6,0,0,5,1,1,1,1,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.ChannelWrapper,6,25,2,2,1,6,3,4,1,4
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,ResponseFuture,20,155,4,4,4,36,6,16,3,15
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,AsyncNettyRequestProcessor,0,12,0,0,0,4,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyLogger.NettyBridgeLoggerFactory,0,5,0,0,0,1,0,1,0,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettySystemConfig,3,46,0,0,1,18,1,1,1,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,FileRegionEncoder.new WritableByteChannel() {...},1,20,0,0,1,4,1,3,1,3
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,28,0,0,0,3,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new TimerTask() {...},10,6,0,0,5,1,1,1,1,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,27,0,0,0,3,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ChannelInitializer() {...},0,60,0,0,0,9,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,28,0,0,0,3,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},0,42,0,0,0,4,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyClientConfig,50,71,0,0,24,24,13,12,13,12
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.NettyEventExecutor,111,17,13,0,23,4,10,2,2,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingAbstract.new ChannelFutureListener() {...},14,19,1,1,1,4,1,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},28,0,0,0,3,0,2,0,2,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},42,0,0,0,4,0,2,0,2,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingClient.NettyClientHandler,0,12,0,0,0,3,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.new ThreadFactory() {...},15,12,0,0,1,2,1,1,1,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyRemotingServer.NettyServerHandler,0,12,0,0,0,3,0,2,0,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,RequestTask,150,25,29,1,26,10,21,2,6,2
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.netty,NettyEventType,0,44,0,0,0,5,0,1,0,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.protocol,RemotingSerializable,13,43,3,1,5,11,3,8,1,8
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.protocol,LanguageCode,4,167,2,2,1,20,2,4,0,4
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.protocol,SerializeType,4,57,2,2,1,10,2,4,0,4
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.protocol,RemotingSysResponseCode,3,0,0,0,1,0,1,0,1,0
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.protocol,RemotingCommandType,0,24,0,0,0,3,0,1,0,1
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.protocol,RocketMQSerializable,7,365,10,36,3,89,11,20,1,7
rocketmq-remoting 4.9.2,org.apache.rocketmq.remoting.protocol,RemotingCommand,176,769,27,60,36,212,29,67,6,46
